Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,DEG_Count,Pathway_Total,Rich_Factor
TNF signaling pathway,1/112,0.3836773699000366,0.5767331227867344,0,0,2.098887122416534,2.0106357656935216,MMP9,1,112,0.008928571428571428
Toxoplasmosis,1/112,0.3836773699000366,0.5767331227867344,0,0,2.098887122416534,2.0106357656935216,TLR2,1,112,0.008928571428571428
Serotonergic synapse,1/113,0.3863424770334258,0.5767331227867344,0,0,2.080042016806723,1.9781845571969963,ALOX15B,1,113,0.008849557522123894
Leukocyte transendothelial migration,1/114,0.38899619307666833,0.5767331227867344,0,0,2.0615304528891203,1.9464676187704355,MMP9,1,114,0.008771929824561403
Pathways in cancer,3/531,0.40068107735092395,0.5767331227867344,0,0,1.3270810514786417,1.213734377330598,FGF5;IL2RA;MMP9,3,531,0.005649717514124294
"Growth hormone synthesis, secretion and action",1/119,0.40209558442117593,0.5767331227867344,0,0,1.973678963110668,1.79815070564473,SSTR5,1,119,0.008403361344537815
Thyroid hormone signaling pathway,1/121,0.4072572721420906,0.5767331227867344,0,0,1.9405882352941177,1.743250157166395,ATP1B4,1,121,0.008264462809917356
Human papillomavirus infection,2/331,0.4176962008797854,0.5767331227867344,0,0,1.4173541757128383,1.2373514750590144,ATP6V1G2;SPP1,2,331,0.006042296072507553
Lysosome,1/128,0.4249787390653726,0.5767331227867344,0,0,1.8329782306623437,1.568509050816366,CTSG,1,128,0.0078125
Purine metabolism,1/129,0.42746725210909087,0.5767331227867344,0,0,1.8185661764705883,1.5455586516680218,PDE11A,1,129,0.007751937984496124
Relaxin signaling pathway,1/129,0.42746725210909087,0.5767331227867344,0,0,1.8185661764705883,1.5455586516680218,MMP9,1,129,0.007751937984496124
Oxidative phosphorylation,1/133,0.43731530489265164,0.5767331227867344,0,0,1.763101604278075,1.4582627871632894,ATP6V1G2,1,133,0.007518796992481203
Systemic lupus erythematosus,1/135,0.44217635708929937,0.5767331227867344,0,0,1.7366110623353819,1.417155342018229,CTSG,1,135,0.007407407407407408
Apelin signaling pathway,1/137,0.44699589850685556,0.5767331227867344,0,0,1.7108996539792387,1.3776264272740881,SPP1,1,137,0.0072992700729927005
Yersinia infection,1/137,0.44699589850685556,0.5767331227867344,0,0,1.7108996539792387,1.3776264272740881,MEFV,1,137,0.0072992700729927005
Estrogen signaling pathway,1/137,0.44699589850685556,0.5767331227867344,0,0,1.7108996539792387,1.3776264272740881,MMP9,1,137,0.0072992700729927005
Insulin signaling pathway,1/137,0.44699589850685556,0.5767331227867344,0,0,1.7108996539792387,1.3776264272740881,HK3,1,137,0.0072992700729927005
Fluid shear stress and atherosclerosis,1/139,0.45177427951627525,0.5767331227867344,0,0,1.6859335038363172,1.3395965768152946,MMP9,1,139,0.007194244604316547
Apoptosis,1/142,0.45886543445060396,0.5785878947328656,0,0,1.6498122653316645,1.2852009220254814,HRK,1,142,0.007042253521126761
Breast cancer,1/147,0.47048310447335095,0.5785878947328656,0,0,1.5929089443996778,1.2010457464252422,FGF5,1,147,0.006802721088435374
Phospholipase D signaling pathway,1/148,0.4727768813863378,0.5785878947328656,0,0,1.5819927971188474,1.1851209714059467,CXCR1,1,148,0.006756756756756757
Gastric cancer,1/149,0.4750608370792901,0.5785878947328656,0,0,1.5712241653418124,1.1694816374365784,FGF5,1,149,0.006711409395973154
Adrenergic signaling in cardiomyocytes,1/150,0.47733501315461413,0.5785878947328656,0,0,1.5606000789577577,1.154121033905946,ATP1B4,1,150,0.006666666666666667
mTOR signaling pathway,1/154,0.48633474560244355,0.580468087774727,0,0,1.5194925028835062,1.0953385017193233,ATP6V1G2,1,154,0.006493506493506494
Cushing syndrome,1/155,0.4885606405437286,0.580468087774727,0,0,1.5095492742551566,1.0812775841638456,PDE11A,1,155,0.0064516129032258064
JAK-STAT signaling pathway,1/162,0.5038772029598118,0.5927967093644845,0,0,1.4434051881622214,0.9893426603607967,IL2RA,1,162,0.006172839506172839
cGMP-PKG signaling pathway,1/167,0.5145391545326984,0.5994630926594544,0,0,1.399574769666903,0.9299945157060101,ATP1B4,1,167,0.005988023952095809
Transcriptional misregulation in cancer,1/192,0.5645447248064708,0.647354659339001,0,0,1.2148444718201417,0.6945699173945614,MMP9,1,192,0.005208333333333333
Kaposi sarcoma-associated herpesvirus infection,1/193,0.5664353269216259,0.647354659339001,0,0,1.2084558823529412,0.6868771000746856,CCR1,1,193,0.0051813471502590676
Focal adhesion,1/201,0.5812709356164965,0.6498897156998197,0,0,1.1596470588235295,0.6291529490710988,SPP1,1,201,0.004975124378109453
Epstein-Barr virus infection,1/202,0.5830897443088353,0.6498897156998197,0,0,1.153819139596137,0.6223863925102069,TLR2,1,202,0.0049504950495049506
Diabetic cardiomyopathy,1/203,0.5849007441298377,0.6498897156998197,0,0,1.1480489225393127,0.6157136930154435,MMP9,1,203,0.0049261083743842365
Human immunodeficiency virus 1 infection,1/212,0.6008537673252351,0.6614903860461304,0,0,1.0985781990521326,0.5596197879679472,TLR2,1,212,0.0047169811320754715
Regulation of actin cytoskeleton,1/218,0.6111508873353361,0.6625311991489191,0,0,1.0678774735700731,0.5258350405600146,FGF5,1,218,0.0045871559633027525
Human T-cell leukemia virus 1 infection,1/219,0.6128413592127502,0.6625311991489191,0,0,1.0629249865083648,0.5204603381020326,IL2RA,1,219,0.0045662100456621
Human cytomegalovirus infection,1/225,0.6228327200784859,0.6673207715126634,0,0,1.034138655462185,0.48964118187440586,CCR1,1,225,0.0044444444444444444
Ras signaling pathway,1/232,0.6341675641682093,0.6734522805326117,0,0,1.0024446142093202,0.4565554428077985,FGF5,1,232,0.004310344827586207
Chemical carcinogenesis,1/239,0.6451656084856591,0.6748276636648846,0,0,0.9726149283242709,0.4262467783968463,FGF5,1,239,0.0041841004184100415
Calcium signaling pathway,1/240,0.6467098443455144,0.6748276636648846,0,0,0.9684961850849126,0.4221263726870767,FGF5,1,240,0.004166666666666667
Shigellosis,1/246,0.6558367463353773,0.6772434955952549,0,0,0.9444897959183673,0.39842677100540125,HK3,1,246,0.0040650406504065045
Salmonella infection,1/249,0.6603124082053735,0.6772434955952549,0,0,0.9329222011385199,0.387202092294653,TLR2,1,249,0.004016064257028112
MAPK signaling pathway,1/294,0.7209362005181045,0.7331554581540045,0,0,0.7878337683196145,0.25778285911048426,FGF5,1,294,0.003401360544217687
MicroRNAs in cancer,1/310,0.7398040928660019,0.7460209339825229,0,0,0.7464306110793832,0.22495169413787677,MMP9,1,310,0.0032258064516129032
Herpes simplex virus 1 infection,1/498,0.88618483939829,0.88618483939829,0,0,0.4596283583856078,0.055536769428284574,TLR2,1,498,0.002008032128514056
