,SRR24302632,SRR24302634,SRR24302635,SRR24302636,SRR24302637,SRR24302638,SRR24302640,SRR24302643
LOC124901720,3,9,10,20,9,9,11,23
LOC124901721,0,2,1,1,0,2,0,1
GPR22,3303,1940,2340,1590,1478,971,1235,1454
DUS4L-BCAP29,84,37,92,69,111,64,88,79
DUS4L,94,95,99,118,80,61,112,71
BCAP29,25,6,22,10,22,13,19,20
SLC26A4-AS1,28,22,38,18,43,8,15,22
SLC26A4,210,114,247,69,52,29,307,216
CBLL1-AS1,119,175,99,82,73,48,128,118
CBLL1,1102,833,1222,899,1131,877,1058,954
SLC26A3,2,1,3,1,2,6,0,3
LOC105375444,0,0,1,0,0,0,0,0
LOC105375445,0,0,0,0,0,0,0,0
DLD,15903,10134,17513,13416,13607,12909,12916,10480
LAMB1,7326,2812,7611,5081,7273,8559,10638,5710
LAMB4,15,7,9,12,37,22,12,13
LOC107986834,0,0,0,0,1,0,0,0
LOC107986835,0,0,0,0,0,0,2,0
LOC105375446,3,1,1,0,0,1,5,1
LOC102724363,2,0,0,0,1,0,0,0
PNPLA8,2447,1738,2421,2442,2359,2296,2244,2073
LOC124901722,0,0,0,0,2,0,0,0
THAP5,1409,941,1334,1105,1070,895,1302,1238
DNAJB9,2506,2841,3036,2775,3315,2962,1968,2543
LOC105375448,0,0,3,0,2,0,0,4
LOC107986836,0,0,0,0,0,0,1,0
LINC02903,0,0,0,0,0,0,2,0
EIF3IP1,359,286,314,294,337,271,321,280
LOC105375451,1,2,4,2,0,0,0,5
LOC105375450,1,0,0,3,0,3,0,0
LOC105375452,0,0,0,0,0,0,0,0
LOC124901723,0,0,0,0,1,0,0,0
IMMP2L,394,384,328,368,328,333,302,283
LOC124901724,0,2,0,0,5,0,2,2
LRRN3,95,17,36,71,112,403,130,177
LOC124901725,39,39,27,60,41,30,33,75
LOC124900232,16,26,13,41,23,9,15,51
DOCK4,1044,499,1036,938,1428,817,1239,875
LOC124901727,0,0,2,1,0,0,2,2
LOC124901726,2,0,2,1,0,1,1,0
DOCK4-AS1,5,2,0,6,1,2,0,2
ZNF277,734,646,1019,700,665,406,1008,656
ZNF277-AS1,7,2,15,1,1,4,4,5
LOC105375456,1,0,2,0,0,0,3,0
LOC105375457,4,7,6,2,2,5,9,6
IFRD1,778,1144,1135,1516,653,581,1328,1254
LOC128031837,0,0,0,0,0,0,0,0
LSMEM1,122,169,314,401,108,49,298,243
LINC03076,0,0,0,1,0,0,1,2
LOC101928012,2,0,6,1,5,1,2,1
TMEM168,1080,885,1211,1177,1327,1249,1163,990
LOC124901729,0,3,0,0,2,1,1,0
SAMTOR,1140,1066,1615,1689,1175,818,1027,1288
HRAT17,2499,4394,1401,2004,1025,1233,853,1377
GPR85,21,115,127,173,79,39,164,99
LOC107986837,0,0,0,1,1,0,0,2
SMIM30,6195,8261,5557,6758,2883,3100,3398,4247
LOC124901813,47,187,102,160,25,71,88,159
LOC124901814,5,16,29,25,32,29,54,11
PPP1R3A,8655,4802,7967,6370,7120,6511,6571,6623
FOXP2,130,108,251,120,119,143,201,121
MIR3666,0,0,0,0,0,0,0,0
MDFIC,4207,3751,4030,3658,3572,1852,3555,3532
LINC01393,12,10,5,4,3,4,6,8
LINC01392,0,0,0,1,0,1,0,0
SNORA25B,0,0,0,0,0,0,0,0
LOC100506489,0,0,0,0,0,0,0,0
LOC105375461,0,1,0,0,0,0,0,0
LOC105375462,0,0,0,0,0,0,0,0
LOC102724407,0,0,0,0,0,0,0,1
TFEC,35,8,42,47,182,121,66,51
TES,785,471,843,670,1465,772,944,526
LOC124901730,30,54,52,27,37,14,65,46
LOC102724434,2,0,1,6,1,2,0,2
LOC105375463,0,1,0,0,0,1,0,0
LOC124900233,0,0,0,0,2,4,0,0
LOC107986838,13,21,29,14,20,22,38,18
CAV2,7864,7739,10956,10068,8462,6631,8657,7502
CAV1,14272,8170,16027,12084,14016,7129,14220,12075
COMETT,1,2,0,1,0,2,2,2
MET,957,734,1007,1058,1582,687,959,810
LOC124901731,0,1,1,4,0,2,0,0
CAPZA2,8622,7220,8413,7473,6680,6949,5865,6369
